page_no,block_no,text,size,font_name,bbox_left,bbox_top,bbox_right,bbox_bottom
0,40,07|||Vodafone Group Plc|||Annual Report 2019,"[18.0, 7.0, 7.0]","['KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneRg-Bold', 'KTWYDH+VodafoneLt-Regular']",68.03250122070312,14.23133659362793,171.15379333496094,34.391334533691406
0,41,Overview,[7.0],['KTWYDH+VodafoneRg-Bold'],488.50390625,16.737720489501953,516.6425170898438,24.577720642089844
0,42,Strategic Report,[7.0],['KTWYDH+VodafoneRg-Bold'],488.50390625,29.239734649658203,536.5925903320312,37.079734802246094
0,43,Governance,[7.0],['KTWYDH+VodafoneRg-Bold'],488.50390625,41.74174880981445,523.9826049804688,49.581748962402344
0,44,Financials,[7.0],['KTWYDH+VodafoneRg-Bold'],488.50390625,54.2437629699707,518.9973754882812,62.083763122558594
0,45,Other information,[7.0],['KTWYDH+VodafoneRg-Bold'],488.50390625,66.74577331542969,541.95947265625,74.58577728271484
0,5,Where we operate,[30.0],['KTWYDH+VodafoneRg-Bold'],68.03150177001953,80.884033203125,279.62451171875,114.4840316772461
0,6,"We manage our business across two geographic regions –|||Europe, and Rest of the World (‘RoW’)","[12.0, 12.0]","['KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular']",68.031494140625,125.08403015136719,312.03948974609375,151.52000427246094
0,24,Operations in 25 countries,[12.0],['KTWYDH+VodafoneRg-Bold'],73.70079803466797,181.4561004638672,198.1648406982422,194.89610290527344
0,33,We are the number one or two mobile operator|||in most of our operations and we are Europe’s|||largest NGN provider.,"[9.5, 9.5, 9.5]","['KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular']",73.70079803466797,204.03648376464844,234.6782989501953,236.67843627929688
0,34,Europe|||Fixed and mobile in 11 out of 13 markets.,"[9.5, 9.5]","['KTWYDH+VodafoneRg-Bold', 'KTWYDH+VodafoneLt-Regular']",73.7008056640625,242.5399627685547,209.79214477539062,264.1809387207031
0,35,"Albania|||1|||, Czech Republic, Germany, Greece, Hungary|||1|||, Ireland, Italy,|||Malta, Netherlands (joint venture). Portugal, Romania, Spain, UK.","[8.0, 4.664000034332275, 8.0, 4.664000034332275, 8.0, 8.0]","['KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular']",73.70069885253906,269.135986328125,266.31671142578125,287.59197998046875
0,36,"Rest of the world|||4G in all markets, M-Pesa in 8 out of 12 markets.","[9.5, 9.5]","['KTWYDH+VodafoneRg-Bold', 'KTWYDH+VodafoneLt-Regular']",73.70079803466797,293.0360107421875,232.9037322998047,314.6769714355469
0,39,Europe|||Rest of the World|||Joint Ventures and Associates|||Notes:|||1 Mobile services only. 2 M-Pesa services available.,"[7.0, 7.0, 7.0, 7.0, 7.0]","['KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular', 'KTWYDH+VodafoneLt-Regular']",73.70079803466797,368.176025390625,380.10174560546875,391.4895324707031
